signe,participant_ID,âge,sexe,Natif,AoA,utilisation_LSF,surdité,note_freq,note_concret,note_iconic
voler,A15,34,M,1,0,5,1,2,5,3
voler,A16,25,F,0,16,4,1,2,3,5
marié,A1,27,F,1,0,5,1,5,1,5
marié,A2,26,F,0,16,3,0,3,2,2
marié,A3,26,M,1,0,5,1,5,4,4
marié,A4,41,F,0,9,5,1,4,5,4
marié,A5,27,M,1,0,5,1,4,5,5
marié,A6,47,M,0,12,5,1,5,5,5
marié,A7,52,M,0,16,5,1,4,1,3
marié,A8,22,F,0,11,4,1,2,5,5
marié,A9,28,M,1,0,5,1,4,4,5
marié,A10,36,M,1,0,5,1,3,5,5
marié,A11,33,M,1,0,5,1,5,5,5
marié,A12,25,M,1,0,3,1,5,5,5
marié,A13,22,F,0,6,2,1,3,2,5
marié,A14,69,F,0,24,3,0,5,5,5
marié,A15,34,M,1,0,5,1,4,4,4
marié,A16,25,F,0,16,4,1,4,5,5
salledebain,A1,27,F,1,0,5,1,5,5,1
salledebain,A2,26,F,0,16,3,0,3,3,3
salledebain,A3,26,M,1,0,5,1,5,3,4
salledebain,A4,41,F,0,9,5,1,4,5,4
salledebain,A5,27,M,1,0,5,1,5,5,4
salledebain,A6,47,M,0,12,5,1,3,4,4
salledebain,A7,52,M,0,16,5,1,5,1,2
salledebain,A8,22,F,0,11,4,1,1,4,4
salledebain,A9,28,M,1,0,5,1,4,3,3
salledebain,A10,36,M,1,0,5,1,2,4,3
salledebain,A11,33,M,1,0,5,1,5,4,4
salledebain,A12,25,M,1,0,3,1,1,1,1
salledebain,A13,22,F,0,6,2,1,4,5,2
salledebain,A14,69,F,0,24,3,0,3,4,3
salledebain,A15,34,M,1,0,5,1,1,1,1
salledebain,A16,25,F,0,16,4,1,1,1,1
